id,text
1,"The sun is a star at the center of our solar system. It provides light and heat to Earth."
2,"Machine learning is a subset of artificial intelligence that enables systems to learn from data."
3,"The Eiffel Tower is located in Paris, France. It was built in 1889 and stands 330 meters tall."
4,"Python is a popular programming language known for its simplicity and readability."
5,"The Amazon rainforest is the world's largest tropical rainforest, covering most of the Amazon basin."
6,"Neural networks are computing systems inspired by biological neural networks in animal brains."
7,"The Great Wall of China was built over many centuries to protect against invasions from the north."
8,"Deep learning uses multiple layers of neural networks to learn complex patterns from large datasets."
9,"Football is the most popular sport in the world, played by over 250 million people in 200 countries."
10,"Natural Language Processing allows computers to understand, interpret and generate human language."
